Hour;Month;Rate
1;1;A
2;1;A
3;1;A
4;1;A
5;1;A
6;1;A
7;1;A
8;1;C
9;1;C
10;1;C
11;1;C
12;1;B
13;1;B
14;1;B
15;1;B
16;1;B
17;1;B
18;1;C
19;1;C
20;1;A
21;1;A
22;1;A
23;1;A
24;1;A
1;2;A
2;2;A
3;2;A
4;2;A
5;2;A
6;2;A
7;2;A
8;2;C
9;2;C
10;2;C
11;2;C
12;2;B
13;2;B
14;2;B
15;2;B
16;2;B
17;2;B
18;2;C
19;2;C
20;2;A
21;2;A
22;2;A
23;2;A
24;2;A
1;3;A
2;3;A
3;3;A
4;3;A
5;3;A
6;3;A
7;3;A
8;3;C
9;3;C
10;3;C
11;3;C
12;3;B
13;3;B
14;3;B
15;3;B
16;3;B
17;3;B
18;3;C
19;3;C
20;3;A
21;3;A
22;3;A
23;3;A
24;3;A
1;4;A
2;4;A
3;4;A
4;4;A
5;4;A
6;4;A
7;4;A
8;4;C
9;4;C
10;4;C
11;4;C
12;4;B
13;4;B
14;4;B
15;4;B
16;4;B
17;4;B
18;4;C
19;4;C
20;4;A
21;4;A
22;4;A
23;4;A
24;4;A
1;5;A
2;5;A
3;5;A
4;5;A
5;5;A
6;5;A
7;5;A
8;5;B
9;5;B
10;5;B
11;5;B
12;5;C
13;5;C
14;5;C
15;5;C
16;5;C
17;5;C
18;5;B
19;5;B
20;5;A
21;5;A
22;5;A
23;5;A
24;5;A
1;6;A
2;6;A
3;6;A
4;6;A
5;6;A
6;6;A
7;6;A
8;6;B
9;6;B
10;6;B
11;6;B
12;6;C
13;6;C
14;6;C
15;6;C
16;6;C
17;6;C
18;6;B
19;6;B
20;6;A
21;6;A
22;6;A
23;6;A
24;6;A
1;7;A
2;7;A
3;7;A
4;7;A
5;7;A
6;7;A
7;7;A
8;7;B
9;7;B
10;7;B
11;7;B
12;7;C
13;7;C
14;7;C
15;7;C
16;7;C
17;7;C
18;7;B
19;7;B
20;7;A
21;7;A
22;7;A
23;7;A
24;7;A
1;8;A
2;8;A
3;8;A
4;8;A
5;8;A
6;8;A
7;8;A
8;8;B
9;8;B
10;8;B
11;8;B
12;8;C
13;8;C
14;8;C
15;8;C
16;8;C
17;8;C
18;8;B
19;8;B
20;8;A
21;8;A
22;8;A
23;8;A
24;8;A
1;9;A
2;9;A
3;9;A
4;9;A
5;9;A
6;9;A
7;9;A
8;9;B
9;9;B
10;9;B
11;9;B
12;9;C
13;9;C
14;9;C
15;9;C
16;9;C
17;9;C
18;9;B
19;9;B
20;9;A
21;9;A
22;9;A
23;9;A
24;9;A
1;10;A
2;10;A
3;10;A
4;10;A
5;10;A
6;10;A
7;10;A
8;10;B
9;10;B
10;10;B
11;10;B
12;10;C
13;10;C
14;10;C
15;10;C
16;10;C
17;10;C
18;10;B
19;10;B
20;10;A
21;10;A
22;10;A
23;10;A
24;10;A
1;11;A
2;11;A
3;11;A
4;11;A
5;11;A
6;11;A
7;11;A
8;11;C
9;11;C
10;11;C
11;11;C
12;11;B
13;11;B
14;11;B
15;11;B
16;11;B
17;11;B
18;11;C
19;11;C
20;11;A
21;11;A
22;11;A
23;11;A
24;11;A
1;12;A
2;12;A
3;12;A
4;12;A
5;12;A
6;12;A
7;12;A
8;12;C
9;12;C
10;12;C
11;12;C
12;12;B
13;12;B
14;12;B
15;12;B
16;12;B
17;12;B
18;12;C
19;12;C
20;12;A
21;12;A
22;12;A
23;12;A
24;12;A
