Année;Secteur;Consommation d'électricité totale (PJ);Chauffage des locaux;Chauffage de l'eau;Électroménager;Éclairage;Refroidissement des locaux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003;Résidentiel;160,5;49,5;14,9;59,9;21,3;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004;Résidentiel;163;50,6;15,3;63;22,1;11,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005;Résidentiel;164,3;46,3;13,8;58,6;20,1;25,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006;Résidentiel;153,6;42,7;13,6;59;19,8;18,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007;Résidentiel;151,3;45,1;12,5;56,2;18,4;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008;Résidentiel;163,1;52,3;13,7;62,4;20,4;14,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009;Résidentiel;158,7;52,2;13,3;62,4;20,3;10,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;Résidentiel;169,8;49,3;13,1;63,1;20,7;23,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011;Résidentiel;167,4;49,6;12,4;62,2;20,1;23,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012;Résidentiel;170;46,3;12,5;64,3;20,6;26,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;Résidentiel;170,4;54,2;12,2;65,6;20,5;17,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;Résidentiel;169,3;57,8;11,8;64,8;19,9;14,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;Résidentiel;171,3;53,8;11,8;65,7;19,9;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;Résidentiel;164,4;47;10,7;60,4;17,9;28,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003;Industriel;146,8;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004;Industriel;145,7;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005;Industriel;153,7;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006;Industriel;175;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007;Industriel;180,8;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008;Industriel;178,5;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
